Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
YAF2	YAF2	YY1 associated factor 2	GO:0003713 GO:0003714 GO:0005515 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0016481 GO:0045941 GO:0046872 	 	 	 	 
STX5A	STX5A	none	 	 	 	 	 
MAP3K11	MAP3K11	Mitogen-activated protein kinase kinase kinase 11	GO:0000080 GO:0000166 GO:0004674 GO:0004706 GO:0004713 GO:0005515 GO:0005524 GO:0005813 GO:0005874 GO:0007017 GO:0007257 GO:0008283 GO:0016740 GO:0042803 GO:0046328 GO:0046777 GO:0051259 	 	 	 	 
USF2	USF2	"Upstream transcription factor 2, c-fos interacting"	GO:0003677 GO:0003700 GO:0003702 GO:0005634 GO:0006355 GO:0006357 GO:0007595 GO:0016563 GO:0030528 GO:0045449 GO:0045941 	 	 	 	 
AGPAT2	AGPAT2	"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)"	GO:0003841 GO:0005783 GO:0006654 GO:0008152 GO:0008415 GO:0008654 GO:0016020 GO:0016021 GO:0016740 	hsa00561 hsa00564 	 	73923 75109 75877 75895 	76120
UCP2	UCP2	"Uncoupling protein 2 (mitochondrial, proton carrier)"	GO:0005215 GO:0005488 GO:0005624 GO:0005739 GO:0005743 GO:0006810 GO:0006839 GO:0015992 GO:0016020 GO:0016021 	 	 	166187 167826 167827 	166214 166220 166387 170026 
MAP4K1	MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1	GO:0000166 GO:0000185 GO:0004674 GO:0004713 GO:0005083 GO:0005515 GO:0005524 GO:0006468 GO:0006950 GO:0007243 GO:0007257 GO:0008349 GO:0016740 GO:0018105 GO:0045610 	hsa04010 	 	 	 
MAP2K2	MAP2K2	Mitogen-activated protein kinase kinase 2	GO:0000166 GO:0004674 GO:0004713 GO:0005524 GO:0005576 GO:0006468 GO:0016740 	hsa04010 hsa04370 hsa04540 hsa04650 hsa04664 hsa04720 hsa04730 hsa04810 hsa04910 hsa04912 	 	74751 74752 77388 77389 109869 110049 112399 112407 112409 112410 112411 112412 	109830 109852 109858 109862 109864 
RBM10	RBM10	RNA binding motif protein 10	GO:0000004 GO:0000166 GO:0003676 GO:0003723 GO:0005622 GO:0005634 GO:0008270 GO:0046872 	 	 	 	 
GCN1L1	GCN1L1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	GO:0005488 GO:0005515 	 	 	 	 
IRF3	IRF3	Interferon regulatory factor 3	GO:0003700 GO:0003702 GO:0003712 GO:0005634 GO:0006350 GO:0006355 GO:0006366 GO:0009615 GO:0042803 GO:0045351 	hsa04620 	 	166016 166054 166166 168164 168249 168256 168898 168936 	166245 166271 168903 168914 168933 177671 
MVD	MVD	Mevalonate (diphospho) decarboxylase	GO:0004163 GO:0005524 GO:0006695 GO:0008299 GO:0016301 GO:0016310 GO:0016829 	hsa00100 	 	 	 
PMS2L8	PMS2L8	none	 	 	p50_(+LPS)	 	 
TERT	TERT	Telomerase reverse transcriptase	GO:0000723 GO:0000781 GO:0003677 GO:0003720 GO:0003721 GO:0003723 GO:0003964 GO:0005515 GO:0005634 GO:0005694 GO:0005697 GO:0006278 GO:0016740 GO:0042162 	 	 	157579 171319 180786 	163090 163096 163099 163120 164616 164617 164620 
RPP38	RPP38	Ribonuclease P/MRP 38kDa subunit	GO:0003735 GO:0004526 GO:0005515 GO:0005622 GO:0005634 GO:0005655 GO:0005840 GO:0006412 GO:0008033 GO:0016787 	 	 	 	 
TP53BP1	TP53BP1	"Tumor protein p53 binding protein, 1"	GO:0000776 GO:0003677 GO:0003684 GO:0005515 GO:0005622 GO:0005634 GO:0005654 GO:0005657 GO:0005737 GO:0006281 GO:0006350 GO:0006355 GO:0008134 GO:0016563 GO:0045893 	 	 	73888 73890 73894 73951 75154 	83570 110404 
KIAA0317	KIAA0317	KIAA0317	GO:0004842 GO:0005622 GO:0006512 GO:0016020 GO:0016021 	 	 	 	 
CTBS	CTBS	"Chitobiase, di-N-acetyl-"	GO:0003824 GO:0004568 GO:0005615 GO:0005764 GO:0005975 GO:0006032 GO:0043169 	hsa00520 hsa00530 	 	 	 
SPINT2	SPINT2	"Serine peptidase inhibitor, Kunitz type, 2"	GO:0004867 GO:0005576 GO:0005615 GO:0005625 GO:0006928 GO:0016020 GO:0016021 	 	 	 	 
H1FX	H1FX	"H1 histone family, member X"	GO:0000786 GO:0003677 GO:0005634 GO:0005694 GO:0006334 GO:0007001 	 	 	 	 
PRG2	PRG2	"Proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)"	GO:0005529 GO:0005576 GO:0005615 GO:0005737 GO:0006954 GO:0008201 GO:0042742 	 	 	 	 
ALDH2	ALDH2	Aldehyde dehydrogenase 2 family (mitochondrial)	GO:0004029 GO:0004030 GO:0005739 GO:0005975 GO:0006066 GO:0008152 GO:0009055 	hsa00010 hsa00053 hsa00071 hsa00120 hsa00280 hsa00310 hsa00330 hsa00340 hsa00380 hsa00410 hsa00561 hsa00620 hsa00640 hsa00650 hsa00903 	 	71364 71384 71387 71408 140191 140192 142033 142048 	71723
ALDH1A1	ALDH1A1	"Aldehyde dehydrogenase 1 family, member A1"	GO:0001758 GO:0004029 GO:0005099 GO:0005497 GO:0005737 GO:0006081 GO:0008152 GO:0016491 	hsa00830 	 	71364 71384 71387 71408 140191 140192 142033 142048 	71691
SLC2A3	SLC2A3	none	 	 	 	 	 
SHC3	SHC3	SHC (Src homology 2 domain containing) transforming protein 3	GO:0004871 GO:0005515 GO:0007173 GO:0007242 GO:0007417 GO:0007611 GO:0008372 GO:0035249 	hsa04510 hsa04650 hsa04910 	 	 	 
RGS2	RGS2	"Regulator of G-protein signalling 2, 24kDa"	GO:0004871 GO:0005096 GO:0005516 GO:0005634 GO:0007049 GO:0007169 GO:0007186 GO:0008277 GO:0009968 	 	 	 	 
CEBPD	CEBPD	"CCAAT/enhancer binding protein (C/EBP), delta"	 	 	 	 	 
IRAK1	IRAK1	Interleukin-1 receptor-associated kinase 1	GO:0000166 GO:0000287 GO:0004672 GO:0004674 GO:0004704 GO:0004872 GO:0005149 GO:0005515 GO:0005524 GO:0006468 GO:0007165 GO:0007178 GO:0007250 GO:0016301 GO:0016563 GO:0016740 GO:0019221 GO:0019901 GO:0042803 GO:0045323 GO:0045941 GO:0046777 	hsa04210 hsa04620 	 	166016 166054 166058 168179 168188 168249 168256 168898 181438 	166091 166119 166284 166286 166362 166363 166869 
PRRX1	PRRX1	Paired related homeobox 1	GO:0003677 GO:0003700 GO:0003713 GO:0005634 GO:0006355 GO:0007275 GO:0043565 	 	 	 	 
HSF1	HSF1	Heat shock transcription factor 1	GO:0003677 GO:0003700 GO:0005634 GO:0005737 GO:0006350 GO:0006355 GO:0006457 GO:0006986 GO:0007283 GO:0008285 GO:0043565 GO:0045120 	 	 	 	 
POLRMT	POLRMT	Polymerase (RNA) mitochondrial (DNA directed)	GO:0003677 GO:0003899 GO:0005739 GO:0006269 GO:0006350 GO:0016740 	 	 	74159 75944 163282 	163296
BAT1	BAT1	HLA-B associated transcript 1	GO:0000166 GO:0000398 GO:0003676 GO:0003723 GO:0004004 GO:0005515 GO:0005524 GO:0005634 GO:0005681 GO:0006406 GO:0006754 GO:0006811 GO:0008026 GO:0015078 GO:0015992 GO:0016787 GO:0016887 GO:0042802 GO:0046872 	 	 	 	 
TIAF1	TIAF1	none	 	 	 	 	 
NFYC	NFYC	"Nuclear transcription factor Y, gamma"	GO:0000074 GO:0003700 GO:0003702 GO:0003713 GO:0003887 GO:0005515 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0006357 GO:0006457 GO:0016602 GO:0016740 GO:0043565 	hsa04612 	 	 	 
TFDP2	TFDP2	Transcription factor Dp-2 (E2F dimerization partner 2)	GO:0000074 GO:0003700 GO:0003712 GO:0005634 GO:0005635 GO:0005667 GO:0006259 GO:0006350 GO:0006355 GO:0006357 GO:0007049 	 	 	 	 
CTTN	CTTN	Cortactin	GO:0001726 GO:0005515 GO:0005625 GO:0005737 GO:0005856 GO:0005938 GO:0030027 	hsa04530 hsa05130 hsa05131 	 	 	 
RBM5	RBM5	RNA binding motif protein 5	GO:0000166 GO:0003677 GO:0003723 GO:0005622 GO:0005634 GO:0006396 GO:0007049 GO:0008270 GO:0045786 GO:0046872 	 	 	72163 72172 72203 74160 75071 75983 76043 112168 112295 	72107 72124 72127 72130 72139 72143 72160 156661 
SULT1C1	SULT1C1	"Sulfotransferase family, cytosolic, 1C, member 1"	GO:0005737 GO:0005764 GO:0008146 GO:0009308 GO:0016740 	hsa00272 	 	140192 156580 156584 	176474 176585 176669 
GALNS	GALNS	"Galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)"	GO:0003943 GO:0005764 GO:0008152 GO:0008484 GO:0016787 GO:0030203 	hsa00531 hsa01032 	 	 	 
CCND2	CCND2	Cyclin D2	GO:0000074 GO:0005515 GO:0005634 GO:0007049 GO:0051301 	hsa04110 hsa04310 hsa04510 hsa04630 hsa05210 	 	 	 
CA2	CA2	Carbonic anhydrase II	GO:0004089 GO:0005737 GO:0006730 GO:0008270 GO:0016829 GO:0046872 	hsa00910 	 	 	 
BRRN1	BRRN1	Barren homolog 1 (Drosophila)	GO:0000278 GO:0005634 GO:0007067 GO:0007076 GO:0051301 	 	 	 	 
ST5	ST5	Suppression of tumorigenicity 5	 	 	 	 	 
MAN2C1	MAN2C1	"Mannosidase, alpha, class 2C, member 1"	GO:0004559 GO:0005975 GO:0006013 GO:0016798 	hsa00511 hsa01032 	 	 	 
ADARB1	ADARB1	"Adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"	GO:0003725 GO:0004000 GO:0005622 GO:0006396 GO:0006397 GO:0008270 GO:0016787 GO:0046872 	 	 	75064 75071 75072 75102 77042 	77613 77615 111238 
CYP51A1	CYP51A1	"Cytochrome P450, family 51, subfamily A, polypeptide 1"	GO:0004295 GO:0004497 GO:0005506 GO:0005615 GO:0006118 GO:0006508 GO:0006695 GO:0008398 GO:0016020 GO:0016021 GO:0020037 GO:0046872 	 	c+Rel_(+LPS)	 	 
DLST	DLST	Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	GO:0004149 GO:0005739 GO:0005947 GO:0006085 GO:0006091 GO:0006099 GO:0008152 GO:0008415 GO:0016740 GO:0031405 GO:0045252 	hsa00020 hsa00310 	 	71037 71064 71291 71401 71403 71406 	70953 70954 70956 70957 70959 70960 70961 71036 
NUMB	NUMB	Numb homolog (Drosophila)	GO:0005515 GO:0005634 GO:0005737 GO:0005769 GO:0005887 GO:0007275 GO:0007399 GO:0007405 GO:0007409 GO:0016020 GO:0019897 GO:0030900 GO:0045177 	hsa04330 	 	 	 
PPIC	PPIC	Peptidylprolyl isomerase C (cyclophilin C)	GO:0003755 GO:0005615 GO:0005737 GO:0006457 GO:0007165 GO:0016018 GO:0016853 GO:0051082 	 	 	 	 
PDLIM4	PDLIM4	PDZ and LIM domain 4	GO:0005515 GO:0007242 GO:0008270 GO:0046872 	 	 	 	 
SNTB2	SNTB2	"Syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)"	GO:0003779 GO:0005509 GO:0005515 GO:0005516 GO:0005624 GO:0005856 GO:0005874 GO:0016010 GO:0016020 GO:0045202 	 	 	 	 
PMP22	PMP22	Peripheral myelin protein 22	GO:0005615 GO:0005624 GO:0005887 GO:0007268 GO:0007422 GO:0007605 GO:0007638 GO:0008285 GO:0016020 GO:0016021 	 	 	 	 
PPARD	PPARD	"Peroxisome proliferative activated receptor, delta"	GO:0000122 GO:0003677 GO:0003700 GO:0003707 GO:0004879 GO:0005504 GO:0005634 GO:0006006 GO:0006091 GO:0006350 GO:0006629 GO:0006635 GO:0006915 GO:0007566 GO:0008047 GO:0008203 GO:0008270 GO:0008283 GO:0008366 GO:0008544 GO:0009062 GO:0015758 GO:0015908 GO	hsa04310 	 	 	 
EPS8	EPS8	Epidermal growth factor receptor pathway substrate 8	GO:0004182 GO:0005070 GO:0005515 GO:0006508 GO:0007165 GO:0007173 GO:0008283 	 	 	 	 
GIT2	GIT2	G protein-coupled receptor kinase interactor 2	GO:0005096 GO:0005515 GO:0005654 GO:0008270 GO:0008277 GO:0043087 GO:0046872 	 	 	 	 
P4HA1	P4HA1	"Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I"	GO:0004656 GO:0005488 GO:0005506 GO:0005615 GO:0005783 GO:0016491 GO:0016702 GO:0016706 GO:0018401 GO:0019538 GO:0031418 GO:0046872 	hsa00330 	p50_(-LPS) p52_(-LPS) p65_(+LPS) RelB_(+LPS) p50_(+LPS) p52_(+LPS)	 	 
NEFH	NEFH	"Neurofilament, heavy polypeptide 200kDa"	GO:0000786 GO:0003677 GO:0005198 GO:0005554 GO:0005634 GO:0005739 GO:0005883 GO:0006334 GO:0007399 GO:0030424 GO:0045104 	hsa01510 hsa05030 	 	 	 
IGBP1	IGBP1	Immunoglobulin (CD79A) binding protein 1	GO:0005737 GO:0008601 GO:0009607 GO:0009966 GO:0042113 	 	 	 	 
NUCB2	NUCB2	Nucleobindin 2	GO:0003677 GO:0005509 GO:0005615 GO:0005634 GO:0005640 GO:0005783 GO:0005793 GO:0005829 GO:0005886 GO:0006874 	 	 	 	 
MRE11A	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	GO:0000014 GO:0000019 GO:0003677 GO:0003690 GO:0005488 GO:0005634 GO:0005654 GO:0006303 GO:0006810 GO:0007004 GO:0007126 GO:0007131 GO:0008022 GO:0008408 GO:0016787 GO:0030145 	 	 	73888 73890 73894 73951 75154 75177 83572 	75172 75174 75176 
COX7A2	COX7A2	Cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	GO:0004129 GO:0005739 GO:0005746 GO:0006118 GO:0009055 GO:0016020 	hsa00190 	 	 	 
TPMT	TPMT	Thiopurine S-methyltransferase	GO:0005737 GO:0006139 GO:0008119 GO:0008152 GO:0008168 GO:0016740 	 	 	140192 156580 156581 	158609
MYO1C	MYO1C	Myosin IC	GO:0000166 GO:0003774 GO:0003779 GO:0005516 GO:0005524 GO:0006810 GO:0016459 GO:0016461 GO:0045160 	 	 	 	 
OMP	OMP	none	 	 	 	 	 
FN1	FN1	Fibronectin 1	GO:0000902 GO:0005201 GO:0005515 GO:0005518 GO:0005576 GO:0005578 GO:0005793 GO:0006953 GO:0007044 GO:0007155 GO:0007160 GO:0007169 GO:0008152 GO:0008201 GO:0009611 GO:0016477 GO:0016491 GO:0016504 GO:0042060 	hsa01430 hsa04510 hsa04512 hsa04810 	 	75178 76005 109582 114608 114611 	114621
CAMK1	CAMK1	Calcium/calmodulin-dependent protein kinase I	GO:0000166 GO:0004674 GO:0004685 GO:0004713 GO:0005516 GO:0005524 GO:0005634 GO:0005954 GO:0006468 GO:0006913 GO:0007165 GO:0007399 GO:0016740 GO:0030154 	 	 	 	 
CAMK2G	CAMK2G	Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	GO:0000082 GO:0000166 GO:0004674 GO:0004684 GO:0004685 GO:0004713 GO:0004723 GO:0005516 GO:0005524 GO:0005954 GO:0006468 GO:0006816 GO:0007165 GO:0008372 GO:0016740 GO:0030073 GO:0046777 	hsa04020 hsa04310 hsa04720 hsa04740 hsa04912 	 	 	 
DECR1	DECR1	"2,4-dienoyl CoA reductase 1, mitochondrial"	GO:0005739 GO:0008152 GO:0008670 GO:0016491 	 	 	73923 77288 77289 	109343
ESD	ESD	Esterase D/formylglutathione hydrolase	GO:0000004 GO:0004759 GO:0016023 GO:0016787 	 	 	 	 
CYC1	CYC1	Cytochrome c-1	GO:0005489 GO:0005506 GO:0005739 GO:0005746 GO:0006118 GO:0006119 GO:0016020 GO:0016021 GO:0020037 GO:0045155 GO:0046872 	hsa00190 	 	163200	164651
GSS	GSS	Glutathione synthetase	GO:0000166 GO:0004363 GO:0005524 GO:0006520 GO:0006750 GO:0006979 GO:0007399 GO:0016874 	hsa00251 hsa00480 	 	140192 156580 156590 174403 	174394
DYRK4	DYRK4	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	GO:0000166 GO:0004674 GO:0004713 GO:0005524 GO:0006468 GO:0008372 GO:0016740 	hsa00562 hsa00632 hsa00760 hsa04070 	 	 	 
ACAT1	ACAT1	Acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	GO:0003985 GO:0005739 GO:0005743 GO:0008415 GO:0016740 	hsa00071 hsa00072 hsa00280 hsa00310 hsa00380 hsa00620 hsa00632 hsa00640 hsa00650 	 	70845 70895 71291 73923 74182 77108 77110 77111 	70844 73916 74181 
CHES1	CHES1	Checkpoint suppressor 1	GO:0000077 GO:0000085 GO:0003700 GO:0005515 GO:0005634 GO:0006350 GO:0016564 GO:0043565 GO:0045892 	 	 	 	 
C12ORF8	C12ORF8	none	 	 	 	 	 
PKN1	PKN1	Protein kinase N1	GO:0000166 GO:0004672 GO:0004674 GO:0005515 GO:0005524 GO:0005622 GO:0005737 GO:0006468 GO:0006972 GO:0007165 GO:0007257 GO:0016023 GO:0016740 	 	 	 	 
TNFRSF1A	TNFRSF1A	"Tumor necrosis factor receptor superfamily, member 1A"	GO:0004872 GO:0005031 GO:0005489 GO:0005515 GO:0005576 GO:0005886 GO:0005887 GO:0006118 GO:0006693 GO:0006915 GO:0006952 GO:0006954 GO:0007165 GO:0016020 GO:0019221 GO:0020037 GO:0043123 GO:0045944 GO:0050729 	hsa04010 hsa04060 hsa04210 hsa04920 	p65_(+LPS) c+Rel_(+LPS)	73887 75893 109581 109607 	83582 83656 83660 
CPT2	CPT2	Carnitine palmitoyltransferase II	GO:0004095 GO:0005739 GO:0005743 GO:0006629 GO:0006631 GO:0006635 GO:0006810 GO:0008415 GO:0016020 GO:0016740 	hsa00071 hsa04920 	 	 	 
COASY	COASY	Coenzyme A synthase	GO:0000166 GO:0004140 GO:0004595 GO:0005524 GO:0008372 GO:0009058 GO:0015937 GO:0016740 	hsa00770 	 	 	 
TOB1	TOB1	"Transducer of ERBB2, 1"	GO:0003714 GO:0005070 GO:0005515 GO:0005737 GO:0007184 GO:0008285 GO:0030514 GO:0045668 GO:0046332 	 	 	 	 
GOT2	GOT2	"Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"	GO:0004069 GO:0005739 GO:0006520 GO:0006533 GO:0009058 	hsa00251 hsa00252 hsa00272 hsa00330 hsa00350 hsa00360 hsa00400 hsa00401 hsa00710 hsa00950 	 	70614 71291 	70596 70613 
GALE	GALE	UDP-galactose-4-epimerase	GO:0003824 GO:0003978 GO:0005975 GO:0006012 GO:0009225 GO:0016853 GO:0044237 GO:0050662 	hsa00052 hsa00520 	 	70370 71387 71408 	70369
SSRP1	SSRP1	Structure specific recognition protein 1	GO:0000785 GO:0003677 GO:0005515 GO:0005634 GO:0006355 	 	 	73857 74159 74160 75955 75983 76043 112295 112382 112386 112387 162587 162599 162906 167169 167172 167200 167238 167243 167246 167287 167290 	112379 112385 112392 112395 112396 112429 113411 113412 113413 113414 113429 167076 167077 167090 167148 167150 167181 167192 167196 167197 167282 167284 167288 167292 167459 167481 
PPIB	PPIB	Peptidylprolyl isomerase B (cyclophilin B)	GO:0003755 GO:0005615 GO:0005783 GO:0005788 GO:0006457 GO:0016853 GO:0042277 GO:0051082 	 	 	 	 
DDX1	DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	GO:0000166 GO:0000245 GO:0003723 GO:0003724 GO:0004618 GO:0005524 GO:0006096 GO:0006446 GO:0007046 GO:0007275 GO:0007283 GO:0008026 GO:0008372 GO:0016787 GO:0016887 GO:0050875 	 	 	 	 
SNRPD3	SNRPD3	none	 	 	 	 	 
DHX9	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	GO:0000166 GO:0003677 GO:0003725 GO:0004003 GO:0004004 GO:0005515 GO:0005524 GO:0005622 GO:0005634 GO:0005737 GO:0016787 	 	 	72163 72172 72203 74160 75071 75983 76043 112168 112295 	72107 72124 72127 72130 72139 72143 72160 156661 
EXOSC7	EXOSC7	Exosome component 7	GO:0000175 GO:0000178 GO:0003723 GO:0004527 GO:0005515 GO:0005634 GO:0006364 GO:0006401 GO:0016787 	 	 	 	 
NMT1	NMT1	N-myristoyltransferase 1	GO:0001701 GO:0004379 GO:0005737 GO:0006498 GO:0006499 GO:0008372 GO:0008415 GO:0009249 GO:0016740 	 	 	75108 109581 	141367
THRAP4	THRAP4	Thyroid hormone receptor associated protein 4	GO:0000119 GO:0000166 GO:0003712 GO:0004872 GO:0005524 GO:0005634 GO:0006350 GO:0006355 GO:0006366 GO:0006367 GO:0008270 GO:0016455 GO:0016563 GO:0030374 GO:0030521 GO:0042809 GO:0046872 GO:0046966 	 	 	 	 
NAP1L4	NAP1L4	Nucleosome assembly protein 1-like 4	GO:0003677 GO:0005634 GO:0005678 GO:0005737 GO:0006334 GO:0051082 	 	 	 	 
SUPT5H	SUPT5H	Suppressor of Ty 5 homolog (S. cerevisiae)	GO:0000122 GO:0003711 GO:0005515 GO:0005634 GO:0006350 GO:0006355 GO:0006368 GO:0008148 GO:0008159 GO:0045944 GO:0046982 	 	 	73857 74159 74160 75955 75983 76043 112295 112382 112386 112387 113418 162587 162599 162906 167158 167169 167172 167200 167238 167242 167243 167246 167287 167290 	112379 112381 112385 112392 112395 112396 112434 113402 113407 113409 113411 113412 113413 113414 113429 167076 167077 167083 167084 167085 167087 167090 167147 167148 167150 167181 167191 167192 167196 167197 167282 167284 167288 167292 167459 167478 167
HSPH1	HSPH1	Heat shock 105kDa/110kDa protein 1	GO:0000166 GO:0005515 GO:0005524 GO:0005737 GO:0006457 GO:0006986 GO:0051085 	 	 	 	 
SNX17	SNX17	Sorting nexin 17	GO:0005102 GO:0005515 GO:0005737 GO:0005769 GO:0005794 GO:0006886 GO:0006898 GO:0007242 GO:0008022 GO:0016020 GO:0016197 GO:0030100 GO:0035091 GO:0045192 	 	 	 	 
MBTPS1	MBTPS1	"Membrane-bound transcription factor peptidase, site 1"	GO:0004289 GO:0005509 GO:0005615 GO:0005783 GO:0005788 GO:0006508 GO:0006629 GO:0008202 GO:0008203 GO:0008233 GO:0016020 GO:0016021 	 	 	 	 
CTBP1	CTBP1	C-terminal binding protein 1	GO:0005634 GO:0006468 GO:0006564 GO:0008022 GO:0008134 GO:0008152 GO:0008285 GO:0016491 GO:0016616 GO:0019079 GO:0051287 	hsa04310 hsa04330 	 	 	 
BTF3L3	BTF3L3	none	 	 	 	 	 
ERCC3	ERCC3	"Excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"	GO:0000166 GO:0003677 GO:0003684 GO:0004003 GO:0005524 GO:0005634 GO:0005675 GO:0006265 GO:0006283 GO:0006289 GO:0006350 GO:0006355 GO:0006366 GO:0006917 GO:0007605 GO:0008026 GO:0008134 GO:0016787 GO:0043138 	hsa00500 hsa00790 	 	72086 73762 73772 73776 73777 73779 73854 73857 73863 73864 73885 73894 73935 73937 73941 74159 74160 75071 75953 75955 75983 76042 76043 77075 109970 110302 110304 112295 112382 113418 162587 162599 162906 167158 167160 167161 167162 167164 167169 167172	73758 73769 73934 73936 73938 73939 73946 74986 74992 74993 74994 75850 75856 75861 75862 75864 75866 75869 75873 75891 75949 76576 77068 77069 77071 77073 77077 77078 77081 77083 77085 77090 109639 109953 109973 109974 109975 109976 111264 112379 112383 
THOC1	THOC1	THO complex 1	GO:0000398 GO:0003677 GO:0003723 GO:0005515 GO:0005634 GO:0006406 GO:0006810 GO:0007165 GO:0042981 	 	 	 	 
KIAA0252	KIAA0252	none	 	 	 	 	 
SNX19	SNX19	Sorting nexin 19	GO:0005515 GO:0007242 GO:0015031 GO:0035091 	 	 	 	 
ICT1	ICT1	Immature colon carcinoma transcript 1	GO:0000004 GO:0003747 GO:0005554 GO:0006415 GO:0008372 	 	 	 	 
PIGH	PIGH	"Phosphatidylinositol glycan, class H"	GO:0005783 GO:0006464 GO:0006506 GO:0016757 GO:0017176 	hsa00563 hsa01031 	 	162710 163125 163841 	162730
LSM1	LSM1	"LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)"	GO:0000398 GO:0005515 GO:0005634 GO:0008380 GO:0030529 GO:0031202 	 	 	 	 
EIF2S1	EIF2S1	"Eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"	GO:0003723 GO:0003743 GO:0005515 GO:0005634 GO:0005737 GO:0005844 GO:0005850 GO:0006412 GO:0006445 GO:0043558 	 	 	72613 72649 72662 72695 72702 72706 72731 72737 72766 74160 156827 157279 	72619 72621 72663 72669 72670 72691 72697 72722 156808 156823 157849 
TOP1	TOP1	Topoisomerase (DNA) I	GO:0003917 GO:0003918 GO:0005694 GO:0006260 GO:0006265 GO:0006268 	 	 	 	 
HARS	HARS	Histidyl-tRNA synthetase	GO:0000166 GO:0004821 GO:0005524 GO:0005737 GO:0006412 GO:0006427 GO:0016874 	hsa00340 hsa00970 	 	 	 
USP14	USP14	Ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	GO:0004197 GO:0004221 GO:0005625 GO:0006464 GO:0006511 GO:0006512 GO:0007268 GO:0008193 GO:0019717 	 	 	 	 
TBCC	TBCC	Tubulin-specific chaperone c	GO:0005856 GO:0005874 GO:0006457 GO:0007023 GO:0007025 GO:0051082 GO:0051087 	 	 	 	 
SETDB1	SETDB1	"SET domain, bifurcated 1"	GO:0001833 GO:0003677 GO:0005515 GO:0005634 GO:0008168 GO:0008270 GO:0016568 GO:0016740 GO:0018024 	hsa00310 	 	 	 
PIK4CA	PIK4CA	"Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide"	GO:0004428 GO:0004430 GO:0005515 GO:0005798 GO:0006661 GO:0007165 GO:0007268 GO:0016740 	hsa00562 hsa04070 	 	 	 
HELZ	HELZ	Helicase with zinc finger	GO:0000166 GO:0003676 GO:0004386 GO:0005524 GO:0005634 GO:0008270 GO:0016787 GO:0046872 	 	 	 	 
RALBP1	RALBP1	RalA binding protein 1	GO:0005515 GO:0006810 GO:0006935 GO:0007165 GO:0007264 GO:0016020 GO:0016887 GO:0017160 GO:0030675 GO:0043087 GO:0043089 GO:0043492 GO:0048365 	 	 	 	 
PUM1	PUM1	Pumilio homolog 1 (Drosophila)	GO:0003723 GO:0005488 GO:0006445 	 	 	 	 
PRPSAP1	PRPSAP1	Phosphoribosyl pyrophosphate synthetase-associated protein 1	GO:0004749 GO:0004857 GO:0005615 GO:0009116 GO:0009165 	 	 	 	 
PIK3C3	PIK3C3	"Phosphoinositide-3-kinase, class 3"	GO:0000166 GO:0004428 GO:0004672 GO:0005524 GO:0005942 GO:0006468 GO:0016303 GO:0016740 GO:0030145 	hsa00562 hsa04070 hsa04140 	 	 	 
TNNT1	TNNT1	"Troponin T type 1 (skeletal, slow)"	GO:0005515 GO:0005523 GO:0006937 	 	 	 	 
ENO2	ENO2	"Enolase 2 (gamma, neuronal)"	GO:0000015 GO:0000287 GO:0004634 GO:0006096 GO:0016829 	hsa00010 hsa00400 	 	 	70494 71660 
C5orf13	C5orf13	Chromosome 5 open reading frame 13	GO:0005515 GO:0017015 	 	 	 	 
SGNE1	SGNE1	none	 	 	 	 	 
SLC35A2	SLC35A2	"Solute carrier family 35 (UDP-galactose transporter), member A2"	GO:0000139 GO:0005338 GO:0005351 GO:0005459 GO:0006012 GO:0008643 GO:0015780 GO:0015785 GO:0016020 GO:0016021 	 	 	 	 
